BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
HQB-200_c00005_NODE_5_...region001	c00005_NODE_5_..	NODE_5_length_522673_cov_65.709988	RiPP-like	RiPPs		
HQB-200_c00005_NODE_5_...region002	c00005_NODE_5_..	NODE_5_length_522673_cov_65.709988	RiPP-like	RiPPs		
HQB-200_c00010_NODE_10...region001	c00010_NODE_10..	NODE_10_length_129314_cov_77.952305	lanthipeptide-class-i	RiPPs		
HQB-20_NODE_29...region001	c00029_NODE_29..	NODE_29_length_40010_cov_87.522250	RiPP-like	RiPPs		
HQB-20_NODE_6_...region002	c00006_NODE_6_..	NODE_6_length_261553_cov_74.755350	RiPP-like	RiPPs		
HQB-21_c00019_NODE_19...region001	c00019_NODE_19..	NODE_19_length_31752_cov_78.651807	RiPP-like	RiPPs		
HQB-226_Chr1.region001	Chr1	Chr1	RiPP-like	RiPPs		
HQB-22_c00015_NODE_15...region001	c00015_NODE_15..	NODE_15_length_34809_cov_89.255154	RiPP-like	RiPPs		
HQB-240_Chr1.region001	Chr1	Chr1	RiPP-like	RiPPs		
HQB-240_Chr1.region002	Chr1	Chr1	lassopeptide.RRE-containing	RiPPs		
HQB-267_c00006_NODE_6_...region001	c00006_NODE_6_..	NODE_6_length_199844_cov_113.724314	RiPP-like	RiPPs		
HQB-267_c00006_NODE_6_...region002	c00006_NODE_6_..	NODE_6_length_199844_cov_113.724314	RRE-containing	RiPPs		
HQB-279_c00007_NODE_7_...region001	c00007_NODE_7_..	NODE_7_length_255996_cov_201.791891	RiPP-like	RiPPs		
HQB-323_Chr1.region002	Chr1	Chr1	RiPP-like	RiPPs		
HQB-325_c00040_NODE_40...region001	c00040_NODE_40..	NODE_40_length_29721_cov_137.102280	RRE-containing	RiPPs		
HQB-332_c00040_NODE_40...region001	c00040_NODE_40..	NODE_40_length_4121_cov_174.672107	RiPP-like	RiPPs		
HQB-345_c00012_NODE_12...region001	c00012_NODE_12..	NODE_12_length_88309_cov_175.532743	RiPP-like	RiPPs		
HQB-347_c00005_NODE_5_...region001	c00005_NODE_5_..	NODE_5_length_327864_cov_126.675124	RiPP-like	RiPPs		
HQB-34_c00004_NODE_4_...region001	c00004_NODE_4_..	NODE_4_length_294420_cov_87.375609	RiPP-like	RiPPs		
HQB-399_c00003_NODE_3_...region001	c00003_NODE_3_..	NODE_3_length_943780_cov_108.381093	RiPP-like	RiPPs		
HQB-39_c00013_NODE_13...region001	c00013_NODE_13..	NODE_13_length_147365_cov_99.546379	microviridin	RiPPs		
HQB-39_c00031_NODE_31...region001	c00031_NODE_31..	NODE_31_length_33565_cov_97.169912	RiPP-like	RiPPs		
HQB-410_c00003_NODE_3_...region001	c00003_NODE_3_..	NODE_3_length_504488_cov_97.832615	lanthipeptide-class-v	RiPPs		
HQB-410_c00003_NODE_3_...region002	c00003_NODE_3_..	NODE_3_length_504488_cov_97.832615	RiPP-like	RiPPs		
HQB-410_c00011_NODE_11...region001	c00011_NODE_11..	NODE_11_length_173092_cov_99.622952	thiopeptide	RiPPs		
HQB-410_c00014_NODE_14...region001	c00014_NODE_14..	NODE_14_length_102610_cov_95.231038	RiPP-like	RiPPs		
HQB-428_c00020_NODE_20...region001	c00020_NODE_20..	NODE_20_length_93644_cov_107.695373	RiPP-like	RiPPs		
HQB-440_Chr1.region001	Chr1	Chr1	RiPP-like	RiPPs		
HQB-452_c00003_NODE_3_...region001	c00003_NODE_3_..	NODE_3_length_795364_cov_187.081393	RRE-containing	RiPPs		
HQB-46_Chr1.region001	Chr1	Chr1	LAP	RiPPs		
HQB-46_Chr1.region003	Chr1	Chr1	RiPP-like	RiPPs		
HQB-471_c00015_NODE_15...region001	c00015_NODE_15..	NODE_15_length_94140_cov_168.688049	RiPP-like	RiPPs		
HQB-476_NZ_CP016268.1.region001	NZ_CP016268.1	NZ_CP016268.1 Woeseia oceani strain XK5 chromosome, complete genome	lassopeptide.hserlactone	Others		
HQB-476_NZ_CP016268.1.region004	NZ_CP016268.1	NZ_CP016268.1 Woeseia oceani strain XK5 chromosome, complete genome	RiPP-like	RiPPs		
HQB-484_c00006_NODE_6_...region001	c00006_NODE_6_..	NODE_6_length_256508_cov_102.718439	RiPP-like.LAP	RiPPs		
HQB-484_c00007_NODE_7_...region001	c00007_NODE_7_..	NODE_7_length_220571_cov_114.835129	RiPP-like	RiPPs		
HQB-484_c00013_NODE_13...region001	c00013_NODE_13..	NODE_13_length_103625_cov_108.944345	ranthipeptide	RiPPs		
HQB-491_c00001_NODE_1_...region003	c00001_NODE_1_..	NODE_1_length_1683531_cov_176.049757	RiPP-like	RiPPs		
HQB-55_c00015_NODE_15...region001	c00015_NODE_15..	NODE_15_length_81338_cov_118.031023	RiPP-like	RiPPs		
HQB-5_region003	c00001_NZ_CP03..	NZ_CP033575.1_RagTag	RiPP-like	RiPPs		
HQB-70_Chr1.region002	Chr1	Chr1	RiPP-like	RiPPs		
HQB-75_c00003_NODE_3_...region001	c00003_NODE_3_..	NODE_3_length_208462_cov_125.798810	RiPP-like	RiPPs		
HQB-76_c00004_NODE_4_...region001	c00004_NODE_4_..	NODE_4_length_289160_cov_96.801628	RiPP-like	RiPPs		
HQB-86_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_516604_cov_98.758017	RiPP-like	RiPPs		
HQB-86_c00010_NODE_10...region001	c00010_NODE_10..	NODE_10_length_191863_cov_115.239454	RiPP-like	RiPPs		
HQB-88_c00008_NODE_8_...region001	c00008_NODE_8_..	NODE_8_length_191188_cov_112.059117	RiPP-like	RiPPs		
HQB-88_c00009_NODE_9_...region001	c00009_NODE_9_..	NODE_9_length_173817_cov_116.878215	LAP	RiPPs		
HQB-90_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_1526567_cov_95.221774	RiPP-like	RiPPs		
HQB-90_c00007_NODE_7_...region001	c00007_NODE_7_..	NODE_7_length_220666_cov_113.354623	RRE-containing	RiPPs		
HQB-90_c00010_NODE_10...region001	c00010_NODE_10..	NODE_10_length_148540_cov_115.204657	RiPP-like	RiPPs		
HQB-94_c00006_NODE_6_...region001	c00006_NODE_6_..	NODE_6_length_356988_cov_72.057953	terpene.RiPP-like.LAP	Others		
HQB-99_c00014_NODE_14...region001	c00014_NODE_14..	NODE_14_length_39625_cov_157.840396	lassopeptide	RiPPs		
OP50_c00001_NZ_CP05...region001	c00001_NZ_CP05..	NZ_CP059137.1_RagTag	thiopeptide	RiPPs		
