#BGC Name	Clan Number	Family Number
HQB-118_c00001_NODE_1_...region002	195	23
HQB-345_c00002_NODE_2_...region001	195	195
HQB-399_c00001_NODE_1_...region002	195	215
HQB-429_c00002_NODE_2_...region001	195	242
HQB-440_Chr1.region002	195	245
HQB-118_c00002_NODE_2_...region002	114	25
HQB-152_Chr1.region006	114	66
HQB-19_NODE_4_...region001	114	114
HQB-323_Plas2.region001	114	181
HQB-399_c00001_NODE_1_...region001	114	214
HQB-410_c00007_NODE_7_...region001	114	229
HQB-86_c00001_NODE_1_...region002	114	318
HQB-118_c00003_NODE_3_...region001	46	26
HQB-127_c00002_NODE_2_...region001	46	34
HQB-136_Chr1.region002	46	46
HQB-177_c00003_NODE_3_...region001	46	90
HQB-226_Chr1.region004	46	141
HQB-281_c00001_NODE_1_...region002	46	168
HQB-361_c00003_NODE_3_...region001	46	212
HQB-372_c00001_NODE_1_...region001	46	212
HQB-473_c00002_NODE_2_...region001	46	212
HQB-465_Chr1.region004	46	274
HQB-127_c00001_NODE_1_...region001	131	32
HQB-20_NODE_6_...region001	131	131
HQB-323_Chr1.region003	131	177
HQB-39_c00011_NODE_11...region001	131	220
HQB-55_c00022_NODE_22...region001	131	303
HQB-127_c00001_NODE_1_...region002	169	33
HQB-267_c00003_NODE_3_...region001	169	153
HQB-281_c00002_NODE_2_...region001	169	169
HQB-347_c00003_NODE_3_...region001	169	201
HQB-34_c00005_NODE_5_...region001	169	205
HQB-76_c00014_NODE_14...region001	169	316
HQB-127_c00003_NODE_3_...region002	260	36
HQB-361_c00002_NODE_2_...region001	260	210
HQB-458_Chr1.region009	260	260
HQB-471_c00013_NODE_13...region001	260	280
HQB-136_Chr1.region001	57	45
HQB-150_c00010_NODE_10...region001	57	57
HQB-39_c00007_NODE_7_...region001	57	219
HQB-491_c00001_NODE_1_...region001	57	293
HQB-138_c00005_NODE_5_...region001	298	54
HQB-491_c00006_NODE_6_...region001	298	298
HQB-138_c00016_NODE_16...region001	55	55
HQB-428_c00010_NODE_10...region001	55	238
HQB-46_Chr1.region002	55	277
HQB-138_c00023_NODE_23...region001	56	56
HQB-177_c00004_NODE_4_...region001	56	91
HQB-88_c00003_NODE_3_...region001	56	326
HQB-150_c00014_NODE_14...region001	62	58
HQB-152_Chr1.region002	62	62
HQB-181_c00001_NODE_1_...region003	62	102
HQB-267_c00006_NODE_6_...region003	62	159
HQB-399_c00004_NODE_4_...region001	62	217
HQB-410_c00002_NODE_2_...region002	62	224
HQB-150_c00049_NODE_49...region001	151	59
HQB-162_Chr1.region006	151	77
HQB-267_c00001_NODE_1_...region001	151	151
HQB-86_c00005_NODE_5_...region001	151	322
HQB-152_Chr1.region001	308	61
HQB-181_c00003_NODE_3_...region002	308	106
HQB-200_c00002_NODE_2_...region003	308	118
HQB-323_Chr1.region001	308	175
HQB-325_c00012_NODE_12...region001	308	183
HQB-5_region005	308	308
HQB-152_Chr1.region003	69	69
HQB-154_Chr1.region003	69	69
HQB-267_c00020_NODE_20...region001	69	160
HQB-294_c00002_NODE_2_...region001	69	173
HQB-372_c00016_NODE_16...region001	69	213
HQB-99_c00001_NODE_1_...region003	69	344
HQB-154_Chr1.region005	74	71
HQB-162_Chr1.region003	74	74
HQB-22_c00001_NODE_1_...region001	74	142
HQB-19_NODE_3_...region001	74	144
HQB-22_c00002_NODE_2_...region002	74	144
HQB-267_c00003_NODE_3_...region002	74	154
HQB-34_c00008_NODE_8_...region001	74	206
HQB-162_Chr1.region002	174	73
HQB-294_c00009_NODE_9_...region001	174	174
HQB-345_c00001_NODE_1_...region001	174	194
HQB-76_c00001_NODE_1_...region001	174	313
HQB-91_c00004_NODE_4_...region001	174	338
HQB-177_c00008_NODE_8_...region001	123	92
HQB-200_c00005_NODE_5_...region003	123	123
HQB-498_c00004_NODE_4_...region001	123	300
HQB-181_c00001_NODE_1_...region001	319	100
HQB-226_Chr1.region002	319	139
HQB-429_c00007_NODE_7_...region001	319	243
HQB-70_Chr1.region001	319	309
HQB-86_c00001_NODE_1_...region003	319	319
HQB-20_NODE_2_...region001	130	130
HQB-428_c00007_NODE_7_...region001	130	237
HQB-458_Chr1.region007	130	258
HQB-91_c00003_NODE_3_...region001	130	337
HQB-21_c00001_NODE_1_...region001	134	134
HQB-464_c00006_NODE_6_...region001	134	270
HQB-22_c00002_NODE_2_...region001	143	143
HQB-323_Chr1.region005	143	179
HQB-410_c00002_NODE_2_...region001	143	223
HQB-410_c00009_NODE_9_...region001	143	230
HQB-429_c00001_NODE_1_...region001	143	240
HQB-76_c00003_NODE_3_...region001	143	314
HQB-267_c00002_NODE_2_...region001	254	152
HQB-347_c00003_NODE_3_...region002	254	202
HQB-458_Chr1.region003	254	254
HQB-281_c00002_NODE_2_...region002	297	170
HQB-452_c00006_NODE_6_...region001	297	251
HQB-491_c00004_NODE_4_...region002	297	297
HQB-5_region002	297	305
HQB-99_c00002_NODE_2_...region002	297	346
HQB-429_c00001_NODE_1_...region002	241	241
HQB-90_c00003_NODE_3_...region001	241	330
